id,plate,lat,lon,energyLevel,retrieved_datestamp,retrieved_timestamp
0020202b-58fc-4fce-8fc1-68f5fa982a9a,NS5 10G,49.309382,-123.004595,96,2024/11/20,07:25:02
006790b6-ffaf-41d9-9987-77203f35e0b2,VS7 33B,49.279983,-122.923666,21,2024/11/20,07:25:02
009031d4-7b97-4a21-b4fd-9d57d77f0e10,VN8 45R,49.2806,-123.116313,69,2024/11/20,07:25:02
00bfac8c-85c0-440c-9ecf-bb19a0128c83,SV7 74F,49.287032,-123.12044,91,2024/11/20,07:25:02
00c4cd4a-2239-40d7-bb9f-a1ceabdf05c7,VG5 21K,49.241244,-123.153352,65,2024/11/20,07:25:02
00d4791c-9e55-4c77-940a-f9faff29dca8,TK2 59H,49.216567,-123.134141,67,2024/11/20,07:25:02
00f72ab4-20d6-4da5-9afa-b4c4668cb7de,TK2 48H,49.24832,-123.1626,26,2024/11/20,07:25:02
016cb91f-14f8-4b91-bcc2-8b1043f20509,EB0339,49.69033,-124.99795,92,2024/11/20,07:25:02
0172f30c-f6cf-44e8-893a-5bd759ea2d4a,NG3 98H,49.286563,-123.117286,94,2024/11/20,07:25:02
01c2b90e-1eaf-45a6-9a86-291332edc488,SV6 59F,48.468147,-123.323185,18,2024/11/20,07:25:02
01d2e626-3210-405b-a4a9-7e6a4717939f,DN6 85K,49.269309,-123.081462,57,2024/11/20,07:25:02
01da35de-1844-4232-b5d0-c5096bde2b94,SP5 86X,49.246272,-123.196122,64,2024/11/20,07:25:02
02188a5d-52e9-4916-badf-e5fc564dc752,ST1 54E,49.241885,-123.123635,26,2024/11/20,07:25:02
02216238-48c2-4552-a4f6-2be8950e85c7,NS5 67G,49.245488,-123.094209,84,2024/11/20,07:25:02
02329987-9637-4c54-8ad1-f0631ebc5143,EV0 07A,49.241663,-123.074433,51,2024/11/20,07:25:02
0285bf2b-859f-44b2-93c9-359563a77532,DN6 89K,49.269105,-123.250411,97,2024/11/20,07:25:02
02b7f02c-e1e8-4654-b584-254d4341608e,EV0 97W,49.25923,-123.069123,82,2024/11/20,07:25:02
031973c4-7560-4bad-a1dd-d620d27c1e2a,ST1 38E,49.28327,-123.008563,46,2024/11/20,07:25:02
034cefc8-91b1-4ace-9625-c76e57b00e05,HE3 46J,49.241387,-123.16949,37,2024/11/20,07:25:02
03bd1ff4-f52b-44c3-91c3-6557c8b77865,HG1 19M,49.203485,-123.136307,37,2024/11/20,07:25:02
041d4bd7-f3ab-4446-9cd0-03112c763c95,SP5 85X,49.280976,-123.109312,50,2024/11/20,07:25:02
04444883-0776-4fbc-aba1-00b9909b41c9,EB0358,49.672581,-124.923986,79,2024/11/20,07:25:02
050cf702-3288-4ff0-9cd9-1e9d41b8fdaf,DN6 77K,49.242112,-123.123642,57,2024/11/20,07:25:02
05ae9405-f4ca-4f53-bdd1-64773a7aac42,ST1 64E,49.285005,-123.025626,40,2024/11/20,07:25:02
05b74eda-4153-4b0c-9b4e-b0911d37cfe7,DN7 28K,49.265144,-123.249994,72,2024/11/20,07:25:02
063fcfa8-004e-4c83-a67c-2c1b52498cb7,HG1 20M,49.261968,-123.147917,97,2024/11/20,07:25:02
